"#TYPE","Swadesh_number","ENG","BRT","WLS","GLI","GLS","MJD","CRN"
"verb","144","flow",,,"sruthaigh","ruith","stroo"
"verb","145","freeze",,,"reoigh","reòdh","rioghey"
"verb","146","swell",,,"at","at","att"
"noun","147","sun",,,"grian","grian","grian"
"noun","148","moon",,,"gealach","gealach","eayst"
"noun","149","star",,,"réalt","rionnag","rollage"
"noun","150","water",,,"uisce","uisge","ushtey"
"noun","151","rain",,,"báisteach,fearthainn","frasachd","fliaghey"
"noun","152","river",,,"abhainn","abhainn","awin"
"noun","153","lake",,,"loch","loch","logh"
"noun","154","sea",,,"muir,farraige","muir,cuan,fairge","keayn,faarkey"
"noun","155","salt",,,"salann","salann","sollan"
"noun","156","stone",,,"cloch","clach","clagh"
"noun","157","sand",,,"gaineamh","gainmheach","geinnagh"
"noun","158","dust",,,"deannach","stùr","joan"
"noun","159","earth",,,"talamh","talamh","thalloo"
"noun","160","cloud",,,"scamall,néal","sgòth,neul","bodjal,niaul"
"noun","161","fog",,,"ceo","ceò","kay"
"noun","162","sky",,,"spéir","adhar,speur","niau"
"noun","163","wind",,,"gaoth","gaoth","geay"
"noun","164","snow",,,"sneachta","sneachd","sniaghtey"
"noun","165","ice",,,"oighear","eighre","rio"
"noun","166","smoke",,,"deatach","ceò,toit","jaagh"
"noun","167","fire",,,"tine","teine","aile,çhenney"
"noun","168","ashes",,,"luaith","luath","leoie"
"verb","169","burn",,,"dóigh","loisg","lostey"
"noun","170","road",,,"bóthar","rathad","raad,baare"
"noun","171","mountain",,,"sliabh","beinn","slieau"
"noun","172","red",,,"rua,dearg","ruadh,dearg","ruy,jiarg"
"noun","173","green",,,"glas,uaine","glas,uaine","geayney"
"noun","174","yellow",,,"buí","buidhe","buigh"
"noun","175","white",,,"bán","geal","bane"
"noun","176","black",,,"dubh","dubh","doo"
"noun","177","night",,,"oíche","oidhche","oie"
"noun","178","day",,,"lá","là","laa"
"noun","179","year",,,"bliain","bliadhna","blein"
"adjective","180","warm",,,"te","blàth","çheh"
"adjective","181","cold",,,"fuar","fuar","feayr"
"adjective","182","full",,,"lán","làn","lane"
"adjective","183","new",,,"nua","ùr,nuadh","noa"
"adjective","184","old",,,"sean","sean","shenn"
"adjective","185","good",,,"maith","math","mie"
"adjective","186","bad",,,"olc,droch","dona,olc","olk,drogh"
"adjective","187","rotten, a log)</small>",,,"lofa","lobhte","loau"
"adjective","188","dirty",,,"salach","salach","broghe,breinnagh"
"adjective","189","straight",,,"díreach","dìreach","jeeragh"
"adjective","190","round",,,"cruinn","cruinn","cruinn"
"adjective","191","sharp",,,"géar","geur","geyre"
"adjective","192","dull",,,"maol","maol","moal"
"adjective","193","smooth",,,"mín","mìn","rea,shliawin"
"adjective","194","wet",,,"fliuch","fliuch","fliugh"
"adjective","195","dry",,,"tirim","tioram","çhirrym"
"adjective","196","right",,,"ceart","ceart","cair"
"adjective","197","near",,,"cóngarach","faisg,dlùth","faggys"
"adjective","198","far",,,"fada","fada","foddey"
"part","199","right",,,"deas","deas","jesh"
"part","200","left",,,"clé","clì","toshtal"
"part","201","at",,,"ag","aig","ec"
"part","202","in",,,"i","ann","ayn"
"part","203","with",,,"le","le","marish"
"conjunction","204","and",,,"agus","agus","as"
"part","205","if",,,"má,dá","ma,nan","my,ga"
"part","206","because",,,"óir","oir","er-yn-oyr"
"noun","207","name",,,"ainm","ainm","ennym"
